State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±),Population Percentage - Black,Population Percentage - Hispanic/Latino
Missouri,Marion County,Small town,12.40%,1.90%,,
Arkansas,Miller County,Metro area,12.40%,1.90%,,
Ohio,Hamilton County,Metro area,12.40%,0.40%,,
Arkansas,Hempstead County,Small town,12.40%,2.70%,,
Alabama,Elmore County,Metro area,12.40%,1.40%,,
Pennsylvania,Monroe County,Metro area,12.40%,1.10%,,
Missouri,Harrison County,Rural area,12.40%,1.90%,,
Texas,Hill County,Rural area,12.40%,1.30%,,
Georgia,Baker County,Metro area,12.40%,5.00%,,
Pennsylvania,Washington County,Metro area,12.40%,0.50%,,
Wisconsin,Marinette County,Small town,12.40%,1.40%,,
Tennessee,Washington County,Metro area,12.40%,1.20%,,
Iowa,Pocahontas County,Rural area,12.40%,2.20%,,
Texas,Nolan County,Small town,12.40%,2.50%,,
Texas,Henderson County,Small town,12.40%,1.40%,,
Illinois,Johnson County,Rural area,12.40%,2.00%,,
Alaska,Petersburg Census Area,Rural area,12.40%,4.90%,,
Pennsylvania,Warren County,Small town,12.40%,1.10%,,
Pennsylvania,Bedford County,Rural area,12.40%,1.00%,,
Michigan,Montmorency County,Rural area,12.40%,1.70%,,
Missouri,Grundy County,Rural area,12.40%,3.00%,,
North Carolina,Cherokee County,Rural area,12.40%,1.80%,,
Michigan,Mason County,Small town,12.40%,1.70%,,
West Virginia,Brooke County,Metro area,12.40%,2.50%,,
Michigan,Hillsdale County,Small town,12.30%,1.20%,,
Missouri,Saline County,Small town,12.30%,1.90%,,
Massachusetts,Worcester County,Metro area,12.30%,0.40%,,
Iowa,Pottawattamie County,Metro area,12.30%,1.00%,,
Kansas,Elk County,Rural area,12.30%,3.30%,,
Georgia,Walker County,Metro area,12.30%,1.60%,,
Kentucky,Simpson County,Rural area,12.30%,2.70%,,
Texas,McLennan County,Metro area,12.30%,0.80%,,
Mississippi,Union County,Rural area,12.30%,2.50%,,
Minnesota,Clearwater County,Rural area,12.30%,1.60%,,
Mississippi,Jackson County,Metro area,12.30%,1.10%,,
North Carolina,Lincoln County,Metro area,12.30%,1.20%,,
Georgia,Lumpkin County,Rural area,12.30%,2.80%,,
South Carolina,Anderson County,Metro area,12.30%,0.90%,,
Minnesota,Koochiching County,Rural area,12.30%,2.40%,,
Kentucky,Bracken County,Metro area,12.30%,3.10%,,
Missouri,Livingston County,Rural area,12.30%,1.90%,,
Idaho,Madison County,Small town,12.30%,2.10%,,
Texas,Waller County,Metro area,12.30%,2.40%,,
Texas,Lubbock County,Metro area,12.30%,0.80%,,
New Mexico,Lincoln County,Small town,12.30%,3.00%,,
Indiana,Clay County,Metro area,12.30%,2.20%,,
Missouri,Phelps County,Small town,12.30%,1.70%,,
Washington,Clark County,Metro area,12.30%,0.50%,,
Texas,Delta County,Rural area,12.30%,3.30%,,
Indiana,Switzerland County,Rural area,12.30%,2.80%,,
Virginia,Dinwiddie County,Metro area,12.20%,2.40%,,
North Carolina,Ashe County,Rural area,12.20%,2.10%,,
California,Mariposa County,Rural area,12.20%,2.70%,,
Ohio,Logan County,Small town,12.20%,1.50%,,
Pennsylvania,Allegheny County,Metro area,12.20%,0.30%,,
Kentucky,Lyon County,Rural area,12.20%,3.50%,,
Iowa,Floyd County,Rural area,12.20%,2.70%,,
Texas,Ochiltree County,Rural area,12.20%,4.10%,,
Washington,Whatcom County,Metro area,12.20%,1.10%,,
Texas,Victoria County,Metro area,12.20%,1.20%,,
New York,Livingston County,Metro area,12.20%,1.40%,,
Texas,Knox County,Rural area,12.20%,3.20%,,
Iowa,Marshall County,Small town,12.20%,1.60%,,
Missouri,Vernon County,Rural area,12.20%,2.30%,,
Wisconsin,Wood County,Small town,12.20%,1.20%,,
Arkansas,Van Buren County,Rural area,12.20%,2.00%,,
Ohio,Lorain County,Metro area,12.20%,0.60%,,
Texas,Panola County,Rural area,12.20%,2.60%,,
Virginia,Mecklenburg County,Rural area,12.20%,1.50%,,
Indiana,Howard County,Metro area,12.20%,1.30%,,
Louisiana,Jefferson Parish,Metro area,12.20%,0.60%,,
Illinois,Jersey County,Metro area,12.20%,2.40%,,
Illinois,Stark County,Metro area,12.10%,2.40%,,
Idaho,Gem County,Metro area,12.10%,3.40%,,
Ohio,Hardin County,Rural area,12.10%,2.00%,,
Michigan,Dickinson County,Small town,12.10%,2.10%,,
North Carolina,Onslow County,Metro area,12.10%,1.30%,,
Nevada,Pershing County,Rural area,12.10%,5.50%,,
Arkansas,Crawford County,Metro area,12.10%,1.60%,,
Tennessee,Hamilton County,Metro area,12.10%,0.60%,,
Ohio,Belmont County,Metro area,12.10%,1.30%,,
Ohio,Fairfield County,Metro area,12.10%,0.90%,,
Georgia,Houston County,Metro area,12.10%,1.30%,,
Wisconsin,Crawford County,Rural area,12.10%,1.60%,,
Georgia,Putnam County,Rural area,12.10%,3.10%,,
Arkansas,Yell County,Small town,12.00%,2.50%,,
California,Lake County,Small town,12.00%,1.70%,,
Utah,Duchesne County,Rural area,12.00%,1.50%,,
California,Trinity County,Rural area,12.00%,2.70%,,
North Carolina,Haywood County,Metro area,12.00%,1.30%,,
Georgia,Jackson County,Small town,12.00%,1.40%,,
Minnesota,Ramsey County,Metro area,12.00%,0.50%,,
Alabama,Lauderdale County,Metro area,12.00%,1.20%,,
Pennsylvania,Wayne County,Rural area,12.00%,1.50%,,
Indiana,Vermillion County,Metro area,12.00%,2.10%,,
Illinois,Edwards County,Rural area,12.00%,2.00%,,
North Carolina,Transylvania County,Small town,12.00%,2.10%,,
Wisconsin,Vilas County,Rural area,12.00%,1.50%,,
Texas,Lampasas County,Metro area,12.00%,2.10%,,
Wisconsin,Washburn County,Rural area,12.00%,1.20%,,
Ohio,Franklin County,Metro area,11.90%,0.30%,,
Nebraska,Scotts Bluff County,Small town,11.90%,1.70%,,
Kansas,Greenwood County,Rural area,11.90%,2.70%,,
California,Butte County,Metro area,11.90%,0.70%,,
Tennessee,Chester County,Metro area,11.90%,2.90%,,
Michigan,Houghton County,Small town,11.90%,1.40%,,
California,Siskiyou County,Rural area,11.90%,1.40%,,
Pennsylvania,Westmoreland County,Metro area,11.90%,0.50%,,
North Dakota,Pierce County,Rural area,11.90%,4.70%,,
Florida,Leon County,Metro area,11.90%,0.60%,,
Mississippi,George County,Rural area,11.90%,3.10%,,
Ohio,Erie County,Small town,11.90%,1.10%,,
South Dakota,Beadle County,Small town,11.90%,2.40%,,
Kentucky,Trigg County,Metro area,11.90%,3.20%,,
Idaho,Benewah County,Rural area,11.90%,2.60%,,
Mississippi,Benton County,Metro area,11.90%,3.40%,,
Texas,Motley County,Rural area,11.90%,6.60%,,
Oklahoma,Tulsa County,Metro area,11.90%,0.30%,,
Kentucky,Warren County,Metro area,11.90%,1.10%,,
Illinois,Bureau County,Small town,11.90%,1.10%,,
Washington,Thurston County,Metro area,11.90%,0.70%,,
Tennessee,Trousdale County,Metro area,11.90%,4.10%,,
Michigan,Midland County,Metro area,11.90%,0.90%,,
North Carolina,Yadkin County,Metro area,11.90%,1.80%,,
Kansas,Crawford County,Small town,11.80%,1.30%,,
Indiana,Miami County,Small town,11.80%,1.40%,,
Montana,Meagher County,Rural area,11.80%,6.40%,,
Kentucky,McCracken County,Small town,11.80%,1.40%,,
Missouri,Benton County,Rural area,11.80%,2.00%,,
Idaho,Power County,Rural area,11.80%,4.60%,,
Iowa,Polk County,Metro area,11.80%,0.50%,,
Colorado,Lincoln County,Rural area,11.80%,2.70%,,
Virginia,Hampton city,Metro area,11.80%,1.10%,,
Texas,Palo Pinto County,Small town,11.80%,1.70%,,
Virginia,Westmoreland County,Rural area,11.80%,2.40%,,
Texas,Rusk County,Metro area,11.80%,1.50%,,
Arkansas,Garland County,Metro area,11.80%,1.10%,,
Michigan,St. Joseph County,Small town,11.80%,1.40%,,
North Dakota,Sheridan County,Rural area,11.80%,4.70%,,
West Virginia,Morgan County,Rural area,11.80%,2.60%,,
Arkansas,Prairie County,Rural area,11.70%,2.60%,,
Illinois,Brown County,Rural area,11.70%,3.60%,,
New York,Richmond County,Metro area,11.70%,0.60%,,
Texas,Stonewall County,Rural area,11.70%,5.90%,,
Iowa,Adair County,Rural area,11.70%,2.10%,,
Iowa,Henry County,Rural area,11.70%,2.30%,,
Rhode Island,Kent County,Metro area,11.70%,0.90%,,
Tennessee,Franklin County,Small town,11.70%,1.60%,,
Texas,Hopkins County,Small town,11.70%,1.50%,,
Indiana,Washington County,Metro area,11.70%,2.10%,,
Iowa,Jackson County,Rural area,11.70%,1.80%,,
Michigan,Isabella County,Small town,11.70%,0.90%,,
Arkansas,Izard County,Rural area,11.70%,3.00%,,
Arkansas,White County,Small town,11.70%,1.30%,,
Tennessee,Montgomery County,Metro area,11.70%,1.10%,,
Wisconsin,Richland County,Rural area,11.70%,1.30%,,
Kentucky,Bourbon County,Metro area,11.70%,2.10%,,
Michigan,Mackinac County,Rural area,11.70%,2.30%,,
Montana,Pondera County,Rural area,11.70%,2.80%,,
Indiana,Orange County,Rural area,11.60%,2.20%,,
Wisconsin,Bayfield County,Rural area,11.60%,1.20%,,
Mississippi,Tishomingo County,Rural area,11.60%,2.70%,,
Indiana,Fountain County,Rural area,11.60%,2.00%,,
Indiana,Henry County,Small town,11.60%,1.30%,,
Oklahoma,Bryan County,Small town,11.60%,1.10%,,
Michigan,Cass County,Metro area,11.60%,1.40%,,
Mississippi,Marshall County,Metro area,11.60%,2.40%,,
Iowa,Ringgold County,Rural area,11.60%,2.60%,,
Arkansas,Pope County,Small town,11.60%,1.60%,,
Maryland,Cecil County,Metro area,11.60%,1.30%,,
Georgia,Gilmer County,Rural area,11.60%,2.10%,,
Florida,Lake County,Metro area,11.60%,0.70%,,
Texas,Dallas County,Metro area,11.60%,0.20%,,
Tennessee,Dickson County,Metro area,11.60%,1.60%,,
Michigan,Manistee County,Rural area,11.60%,1.40%,,
New York,Wayne County,Metro area,11.60%,0.90%,,
Illinois,Calhoun County,Metro area,11.60%,2.90%,,
Idaho,Bingham County,Small town,11.60%,2.10%,,
Missouri,Lafayette County,Metro area,11.60%,2.10%,,
Pennsylvania,Dauphin County,Metro area,11.60%,0.70%,,
Nebraska,Dodge County,Small town,11.60%,1.80%,,
Ohio,Noble County,Rural area,11.60%,2.60%,,
Kentucky,Mercer County,Rural area,11.60%,2.10%,,
Colorado,Logan County,Small town,11.60%,2.40%,,
Illinois,Warren County,Rural area,11.60%,2.10%,,
Michigan,Monroe County,Metro area,11.50%,0.80%,,
Pennsylvania,Wyoming County,Metro area,11.50%,1.10%,,
Louisiana,Bossier Parish,Metro area,11.50%,1.10%,,
Ohio,Williams County,Rural area,11.50%,1.60%,,
Missouri,Greene County,Metro area,11.50%,0.70%,,
New York,Otsego County,Small town,11.50%,1.20%,,
Missouri,Montgomery County,Rural area,11.50%,2.50%,,
Pennsylvania,Lebanon County,Metro area,11.50%,0.80%,,
Texas,Wheeler County,Rural area,11.50%,3.10%,,
Iowa,Buena Vista County,Small town,11.50%,2.00%,,
Arkansas,Searcy County,Rural area,11.50%,2.90%,,
Oklahoma,Osage County,Metro area,11.50%,1.00%,,
New Jersey,Camden County,Metro area,11.50%,0.50%,,
Wisconsin,Marquette County,Rural area,11.50%,1.10%,,
Kentucky,Washington County,Rural area,11.50%,2.70%,,
Oklahoma,Woods County,Rural area,11.50%,3.20%,,
Arizona,Pinal County,Metro area,11.50%,0.70%,,
New York,Genesee County,Small town,11.40%,1.10%,,
Vermont,Washington County,Small town,11.40%,1.40%,,
Texas,Grayson County,Metro area,11.40%,1.00%,,
Oklahoma,Washita County,Rural area,11.40%,2.40%,,
Idaho,Bonneville County,Metro area,11.40%,1.10%,,
Georgia,Fulton County,Metro area,11.40%,0.40%,,
Nevada,Churchill County,Small town,11.40%,2.40%,,
Indiana,Parke County,Rural area,11.40%,2.30%,,
Arkansas,Marion County,Rural area,11.40%,2.30%,,
South Carolina,Dorchester County,Metro area,11.40%,0.90%,,
Pennsylvania,Bradford County,Small town,11.40%,0.90%,,
Alabama,Cullman County,Small town,11.40%,1.20%,,
West Virginia,Jefferson County,Metro area,11.40%,1.60%,,
South Carolina,Spartanburg County,Metro area,11.40%,0.70%,,
Washington,Skamania County,Metro area,11.40%,2.20%,,
Texas,Coryell County,Metro area,11.40%,1.50%,,
Georgia,Walton County,Metro area,11.40%,1.30%,,
Georgia,Lamar County,Metro area,11.40%,3.20%,,
Missouri,Shelby County,Rural area,11.40%,2.30%,,
Ohio,Huron County,Small town,11.40%,1.30%,,
Minnesota,Becker County,Rural area,11.40%,1.20%,,
Virginia,Middlesex County,Rural area,11.40%,3.40%,,
Virginia,Louisa County,Rural area,11.40%,2.00%,,
New York,Madison County,Metro area,11.40%,1.30%,,
Wisconsin,Sauk County,Small town,11.40%,1.20%,,
Utah,Sevier County,Rural area,11.40%,1.80%,,
West Virginia,Tyler County,Rural area,11.40%,2.40%,,
Iowa,Clay County,Small town,11.30%,3.00%,,
Oklahoma,Murray County,Rural area,11.30%,2.80%,,
Arkansas,Madison County,Metro area,11.30%,2.40%,,
North Carolina,Brunswick County,Metro area,11.30%,0.90%,,
Minnesota,Cass County,Small town,11.30%,0.90%,,
North Carolina,Forsyth County,Metro area,11.30%,0.50%,,
Missouri,Jackson County,Metro area,11.30%,0.40%,,
Louisiana,Lafayette Parish,Metro area,11.30%,0.80%,,
Washington,Douglas County,Metro area,11.30%,1.70%,,
Iowa,Page County,Rural area,11.30%,2.30%,,
California,Sacramento County,Metro area,11.30%,0.30%,,
Ohio,Portage County,Metro area,11.30%,1.00%,,
Indiana,Newton County,Metro area,11.30%,2.50%,,
West Virginia,Mineral County,Metro area,11.30%,2.40%,,
West Virginia,Doddridge County,Small town,11.30%,3.60%,,
Kentucky,Jefferson County,Metro area,11.30%,0.40%,,
Oklahoma,Beckham County,Small town,11.30%,2.60%,,
Iowa,Cerro Gordo County,Small town,11.30%,1.60%,,
Iowa,Fremont County,Rural area,11.30%,2.10%,,
Texas,Madison County,Rural area,11.30%,3.20%,,
Pennsylvania,Union County,Small town,11.30%,2.00%,,
Kentucky,Carlisle County,Rural area,11.30%,2.60%,,
Ohio,Licking County,Metro area,11.30%,1.00%,,
New York,Seneca County,Small town,11.30%,1.60%,,
New York,Albany County,Metro area,11.30%,0.60%,,
Michigan,Branch County,Small town,11.30%,1.20%,,
Idaho,Elmore County,Small town,11.20%,2.40%,,
Pennsylvania,Columbia County,Metro area,11.20%,1.20%,,
Texas,Dickens County,Rural area,11.20%,3.70%,,
Missouri,Daviess County,Rural area,11.20%,1.90%,,
Illinois,Effingham County,Small town,11.20%,1.50%,,
Iowa,Van Buren County,Rural area,11.20%,2.20%,,
North Carolina,Avery County,Rural area,11.20%,2.50%,,
Indiana,Scott County,Metro area,11.20%,2.30%,,
Vermont,Orange County,Small town,11.20%,1.30%,,
West Virginia,Marshall County,Metro area,11.20%,1.80%,,
Virginia,Carroll County,Rural area,11.20%,2.10%,,
Michigan,Macomb County,Metro area,11.20%,0.40%,,
Texas,Real County,Rural area,11.20%,4.40%,,
Missouri,Schuyler County,Small town,11.20%,2.90%,,
California,Shasta County,Metro area,11.20%,0.90%,,
Nebraska,Sheridan County,Rural area,11.20%,2.60%,,
Delaware,Sussex County,Metro area,11.20%,0.70%,,
Connecticut,New London County,Metro area,11.20%,0.60%,,
Illinois,Tazewell County,Metro area,11.10%,0.90%,,
New York,Rockland County,Metro area,11.10%,0.70%,,
Texas,Sabine County,Rural area,11.10%,2.60%,,
Texas,Rains County,Rural area,11.10%,2.50%,,
Vermont,Windsor County,Small town,11.10%,1.30%,,
Indiana,Starke County,Rural area,11.10%,2.00%,,
Minnesota,Nobles County,Small town,11.10%,2.20%,,
South Carolina,Lexington County,Metro area,11.10%,0.60%,,
Texas,Anderson County,Small town,11.10%,1.80%,,
Indiana,Owen County,Metro area,11.10%,2.50%,,
Wisconsin,Monroe County,Rural area,11.10%,1.40%,,
Mississippi,Grenada County,Small town,11.10%,3.20%,,
Arkansas,Lonoke County,Metro area,11.10%,1.50%,,
Pennsylvania,Delaware County,Metro area,11.10%,0.50%,,
New Mexico,Sandoval County,Metro area,11.10%,0.80%,,
Illinois,Bond County,Metro area,11.10%,2.50%,,
Alabama,Coosa County,Small town,11.10%,2.80%,,
Texas,Smith County,Metro area,11.10%,0.80%,,
Louisiana,Vernon Parish,Small town,11.10%,1.00%,,
Tennessee,Putnam County,Small town,11.10%,1.20%,,
Minnesota,Mower County,Small town,11.10%,1.50%,,
Texas,Red River County,Rural area,11.10%,2.70%,,
Virginia,Colonial Heights city,Metro area,11.10%,2.40%,,
Michigan,Lapeer County,Metro area,11.10%,0.80%,,
Pennsylvania,Carbon County,Metro area,11.00%,1.10%,,
Wisconsin,Waushara County,Rural area,11.00%,1.30%,,
Texas,Galveston County,Metro area,11.00%,0.70%,,
Ohio,Madison County,Metro area,11.00%,1.50%,,
Kentucky,Daviess County,Metro area,11.00%,0.90%,,
Virginia,Shenandoah County,Rural area,11.00%,1.50%,,
Idaho,Lincoln County,Small town,11.00%,3.20%,,
Missouri,Cooper County,Rural area,11.00%,2.00%,,
Ohio,Knox County,Small town,11.00%,1.30%,,
Virginia,Wythe County,Rural area,11.00%,2.00%,,
New York,Warren County,Metro area,11.00%,1.10%,,
Missouri,Howard County,Rural area,11.00%,2.40%,,
Tennessee,Maury County,Metro area,11.00%,1.20%,,
Virginia,Radford city,Metro area,11.00%,3.20%,,
Indiana,Randolph County,Rural area,10.90%,1.70%,,
Nebraska,Hall County,Metro area,10.90%,1.30%,,
Pennsylvania,York County,Metro area,10.90%,0.50%,,
Washington,Lincoln County,Rural area,10.90%,2.10%,,
Texas,Fisher County,Rural area,10.90%,3.60%,,
Texas,Karnes County,Rural area,10.90%,2.90%,,
Kentucky,Nelson County,Small town,10.90%,1.90%,,
Kansas,Bourbon County,Rural area,10.90%,2.40%,,
Minnesota,Pine County,Rural area,10.90%,1.10%,,
Illinois,Douglas County,Rural area,10.90%,2.00%,,
Texas,Runnels County,Rural area,10.90%,2.50%,,
Texas,Wood County,Rural area,10.90%,1.50%,,
South Dakota,Davison County,Small town,10.90%,3.30%,,
Colorado,Montrose County,Small town,10.90%,1.70%,,
Tennessee,Knox County,Metro area,10.90%,0.50%,,
New Mexico,Catron County,Rural area,10.90%,5.10%,,
Texas,Medina County,Metro area,10.90%,2.10%,,
Virginia,Bland County,Rural area,10.90%,3.70%,,
California,Alpine County,Rural area,10.90%,4.70%,,
Texas,Fannin County,Small town,10.90%,1.80%,,
Ohio,Champaign County,Small town,10.80%,1.50%,,
North Carolina,Durham County,Metro area,10.80%,0.70%,,
Kansas,Allen County,Rural area,10.80%,2.60%,,
Iowa,Keokuk County,Rural area,10.80%,2.00%,,
Montana,Golden Valley County,Metro area,10.80%,5.00%,,
Nevada,Carson City,Metro area,10.80%,1.20%,,
Indiana,Pulaski County,Rural area,10.80%,2.00%,,
Missouri,Knox County,Rural area,10.80%,3.40%,,
Colorado,Mesa County,Metro area,10.80%,1.00%,,
Michigan,Kalamazoo County,Metro area,10.80%,0.70%,,
Ohio,Van Wert County,Small town,10.80%,1.50%,,
Alabama,Lee County,Metro area,10.80%,1.10%,,
Nebraska,Madison County,Small town,10.80%,1.50%,,
Michigan,Ontonagon County,Rural area,10.80%,1.70%,,
Arkansas,Independence County,Small town,10.80%,1.80%,,
Indiana,St. Joseph County,Metro area,10.80%,0.50%,,
Oklahoma,Washington County,Small town,10.80%,1.00%,,
Texas,Coleman County,Rural area,10.80%,3.70%,,
Nebraska,Lincoln County,Small town,10.70%,1.50%,,
Arkansas,Pulaski County,Metro area,10.70%,0.60%,,
Virginia,Charles City County,Metro area,10.70%,2.50%,,
Kentucky,Hardin County,Metro area,10.70%,1.10%,,
Kentucky,Hickman County,Rural area,10.70%,3.00%,,
South Dakota,Pennington County,Metro area,10.70%,1.00%,,
Washington,Kittitas County,Small town,10.70%,1.60%,,
Maryland,Talbot County,Small town,10.70%,1.40%,,
North Carolina,Alexander County,Metro area,10.70%,1.40%,,
Texas,Baylor County,Rural area,10.70%,4.90%,,
Indiana,Vanderburgh County,Metro area,10.70%,0.70%,,
Missouri,Maries County,Rural area,10.70%,3.00%,,
Tennessee,Davidson County,Metro area,10.70%,0.50%,,
Kentucky,Allen County,Metro area,10.70%,2.40%,,
North Carolina,Macon County,Rural area,10.70%,2.10%,,
Iowa,Monroe County,Rural area,10.70%,2.70%,,
Iowa,Union County,Rural area,10.70%,2.40%,,
Missouri,Callaway County,Metro area,10.70%,1.60%,,
Mississippi,Smith County,Rural area,10.70%,2.60%,,
Nebraska,Dakota County,Metro area,10.70%,2.80%,,
Kansas,Labette County,Small town,10.70%,1.70%,,
Oregon,Hood River County,Small town,10.70%,2.70%,,
Montana,Valley County,Rural area,10.70%,3.10%,,
Nebraska,Adams County,Small town,10.70%,1.70%,,
Michigan,Lenawee County,Small town,10.60%,1.00%,,
Kansas,Harper County,Rural area,10.60%,2.70%,,
Texas,Hamilton County,Rural area,10.60%,2.60%,,
Arkansas,Grant County,Metro area,10.60%,2.70%,,
Idaho,Nez Perce County,Metro area,10.60%,1.70%,,
Illinois,Cumberland County,Small town,10.60%,1.90%,,
Idaho,Boundary County,Rural area,10.60%,3.30%,,
Kentucky,Logan County,Rural area,10.60%,2.20%,,
Montana,Missoula County,Metro area,10.60%,1.10%,,
Illinois,Menard County,Metro area,10.60%,2.10%,,
Montana,Cascade County,Metro area,10.60%,1.10%,,
Texas,Ward County,Rural area,10.60%,3.00%,,
Illinois,Kane County,Metro area,10.60%,0.50%,,
Texas,Caldwell County,Metro area,10.60%,2.10%,,
Iowa,Crawford County,Rural area,10.60%,2.40%,,
Oklahoma,Wagoner County,Metro area,10.60%,0.70%,,
Indiana,Allen County,Metro area,10.60%,0.50%,,
Missouri,Jefferson County,Metro area,10.60%,0.90%,,
Louisiana,Ascension Parish,Metro area,10.60%,1.30%,,
Tennessee,Robertson County,Metro area,10.50%,1.50%,,
Texas,Cooke County,Small town,10.50%,1.90%,,
Georgia,Chattahoochee County,Metro area,10.50%,3.60%,,
South Carolina,Lancaster County,Metro area,10.50%,1.10%,,
Kentucky,Calloway County,Small town,10.50%,2.00%,,
Texas,Brown County,Small town,10.50%,1.70%,,
Tennessee,Humphreys County,Rural area,10.50%,2.10%,,
Oklahoma,Woodward County,Small town,10.50%,2.60%,,
New York,Rensselaer County,Metro area,10.50%,0.80%,,
Kansas,Cherokee County,Rural area,10.50%,2.10%,,
New Mexico,Santa Fe County,Metro area,10.50%,0.80%,,
Texas,Ector County,Metro area,10.50%,1.00%,,
Indiana,Lawrence County,Small town,10.50%,1.70%,,
Missouri,Lincoln County,Metro area,10.50%,1.30%,,
Montana,Ravalli County,Rural area,10.50%,1.60%,,
Missouri,Warren County,Metro area,10.50%,2.20%,,
Wisconsin,Green Lake County,Rural area,10.50%,1.40%,,
Idaho,Jerome County,Small town,10.50%,2.40%,,
Mississippi,Lee County,Small town,10.50%,1.00%,,
Ohio,Sandusky County,Small town,10.50%,1.20%,,
Michigan,Menominee County,Small town,10.50%,1.40%,,
New York,Wyoming County,Rural area,10.50%,1.30%,,
Tennessee,Blount County,Metro area,10.50%,1.10%,,
Wisconsin,Dunn County,Small town,10.40%,1.40%,,
Tennessee,Marshall County,Small town,10.40%,1.90%,,
South Carolina,Kershaw County,Metro area,10.40%,1.50%,,
New York,Ulster County,Metro area,10.40%,0.80%,,
Pennsylvania,Sullivan County,Rural area,10.40%,1.90%,,
Texas,Tarrant County,Metro area,10.40%,0.30%,,
Minnesota,Benton County,Metro area,10.40%,1.70%,,
Maine,York County,Metro area,10.40%,0.90%,,
Wisconsin,Eau Claire County,Metro area,10.40%,1.10%,,
Minnesota,Polk County,Metro area,10.40%,1.40%,,
Texas,Leon County,Rural area,10.40%,2.40%,,
Kansas,Wilson County,Rural area,10.40%,2.60%,,
Missouri,Pike County,Rural area,10.40%,2.20%,,
Iowa,Adams County,Rural area,10.40%,3.00%,,
Texas,Lee County,Rural area,10.40%,3.40%,,
Texas,Kaufman County,Metro area,10.40%,1.10%,,
Kentucky,Ballard County,Small town,10.40%,2.80%,,
South Dakota,Day County,Rural area,10.40%,2.80%,,
Michigan,Kent County,Metro area,10.40%,0.40%,,
Virginia,Caroline County,Metro area,10.40%,1.70%,,
Illinois,Carroll County,Rural area,10.40%,2.10%,,
Missouri,Dallas County,Metro area,10.40%,2.50%,,
Georgia,Whitfield County,Metro area,10.40%,1.20%,,
Kentucky,Scott County,Metro area,10.30%,1.30%,,
Minnesota,Mille Lacs County,Metro area,10.30%,1.40%,,
Kansas,Sedgwick County,Metro area,10.30%,0.40%,,
Nebraska,Richardson County,Rural area,10.30%,3.20%,,
Virginia,Winchester city,Metro area,10.30%,2.20%,,
Texas,Clay County,Metro area,10.30%,2.50%,,
Virginia,Bath County,Rural area,10.30%,6.90%,,
Oregon,Benton County,Metro area,10.30%,1.00%,,
Wisconsin,Walworth County,Small town,10.30%,1.00%,,
Illinois,Marshall County,Metro area,10.30%,1.50%,,
Texas,Hardin County,Metro area,10.30%,1.70%,,
Vermont,Lamoille County,Rural area,10.30%,1.70%,,
Georgia,Echols County,Metro area,10.30%,3.90%,,
Ohio,Wayne County,Small town,10.30%,0.90%,,
Iowa,Humboldt County,Rural area,10.30%,2.50%,,
Iowa,Harrison County,Metro area,10.30%,1.50%,,
Idaho,Cassia County,Small town,10.30%,2.10%,,
Texas,Bastrop County,Metro area,10.30%,1.90%,,
New York,Columbia County,Small town,10.30%,1.10%,,
Iowa,Marion County,Small town,10.30%,1.60%,,
Virginia,Campbell County,Metro area,10.30%,1.30%,,
Kansas,Atchison County,Small town,10.30%,3.30%,,
Illinois,Hancock County,Small town,10.30%,1.40%,,
Alabama,Tuscaloosa County,Metro area,10.30%,0.90%,,
Pennsylvania,Juniata County,Rural area,10.30%,1.40%,,
Texas,Somervell County,Metro area,10.20%,4.10%,,
Ohio,Defiance County,Small town,10.20%,1.40%,,
Kansas,Osage County,Metro area,10.20%,1.80%,,
Kentucky,Woodford County,Metro area,10.20%,1.80%,,
Georgia,Pickens County,Metro area,10.20%,2.20%,,
Iowa,Palo Alto County,Rural area,10.20%,2.10%,,
Texas,Live Oak County,Rural area,10.20%,2.80%,,
Tennessee,Overton County,Small town,10.20%,1.80%,,
Indiana,Jackson County,Small town,10.20%,1.40%,,
Illinois,Hamilton County,Rural area,10.20%,2.60%,,
South Carolina,Horry County,Metro area,10.20%,0.60%,,
Missouri,Sullivan County,Rural area,10.20%,2.30%,,
Pennsylvania,Pike County,Metro area,10.20%,1.30%,,
Texas,Throckmorton County,Rural area,10.20%,4.90%,,
Michigan,Alger County,Rural area,10.20%,1.90%,,
Florida,Pinellas County,Metro area,10.20%,0.30%,,
Washington,Kitsap County,Metro area,10.20%,0.70%,,
Kansas,Edwards County,Rural area,10.20%,2.60%,,
Pennsylvania,Franklin County,Metro area,10.20%,0.90%,,
Kentucky,Shelby County,Metro area,10.20%,2.10%,,
Idaho,Twin Falls County,Small town,10.20%,1.20%,,
Alaska,Matanuska-Susitna Borough,Metro area,10.20%,0.80%,,
Nebraska,Cheyenne County,Rural area,10.10%,2.90%,,
Idaho,Custer County,Rural area,10.10%,4.10%,,
Kentucky,Meade County,Metro area,10.10%,2.10%,,
Indiana,Benton County,Metro area,10.10%,2.20%,,
Vermont,Rutland County,Small town,10.10%,1.10%,,
Alabama,Madison County,Metro area,10.10%,0.70%,,
Indiana,Jay County,Rural area,10.10%,1.70%,,
Texas,Young County,Rural area,10.10%,2.50%,,
Oklahoma,Grady County,Metro area,10.10%,1.00%,,
Indiana,Jefferson County,Small town,10.10%,2.00%,,
Minnesota,Traverse County,Rural area,10.10%,3.10%,,
